Course{code='ANT491Y1', courseName='Internship in Anthropology', credits='1.00', campus='St. George', department='Anthropology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ANT497Y1', courseName='Independent Research', credits='1.00', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT497Y1', courseName='Independent Research', credits='1.00', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT497Y1', courseName='Independent Research', credits='1.00', campus='St. George', department='Anthropology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ANT498H1', courseName='Independent Research', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT411H1', courseName='Advanced Archaeological Theory', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT412H1', courseName='Historical Archaeology', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT415Y1', courseName='Laboratory in Faunal Archaeo-Osteology', credits='1.00', campus='St. George', department='Anthropology', term='2018 Fall +', division='Faculty of Arts and Science'}
Course{code='ANT420H1', courseName='Archaeology of Inequality', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT425H1', courseName='Language in Anthropological Thought', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT426H1', courseName='Western Views of the Non-West', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT431H1', courseName='The Real Planet of the Apes', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT434H1', courseName='Health, Diet & Disease in the Past', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT435H1', courseName='Anthropology of Childhood and Childcare', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT438H1', courseName='Topics in Emerging Scholarship (Evolutionary Anthropology)', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT441H1', courseName='Love, Sex, and Marriage', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
Course{code='ANT455H1', courseName='Ethnographic Approaches to the Middle East and North Africa', credits='0.5', campus='St. George', department='Anthropology', term='2018 Fall', division='Faculty of Arts and Science'}
Course{code='ANT472H1', courseName='Japan in Global Context: Anthropological Perspectives (formerly ANT354Y1 and ANT354H1)', credits='0.5', campus='St. George', department='Anthropology', term='2019 Winter', division='Faculty of Arts and Science'}
